Date,Distance (Km),Duration (HH:mm),Over speeding,Over RPM,Idle time,Acceleration,Deceleration,Total,Ranking,Target Variable,Quarter_bin,Month,Year
28/02/2022,4057.4,99.23333333333333,100,100,19,100,100,86,70,Good,Q1_2022,2,2022
28/02/2022,3153.8,12:00:00,89,99,26,97,97,82,123,Good,Q1_2022,2,2022
28/02/2022,4702.5,107.08333333333333,94,100,33,99,100,86,70,Good,Q1_2022,2,2022
28/02/2022,853.8,171.08333333333334,99,100,42,99,100,90,20,Good,Q1_2022,2,2022
28/02/2022,63.1,169.96666666666667,100,99,20,100,100,86,70,Good,Q1_2022,2,2022
28/02/2022,0,14:24:00,100,100,4,100,100,84,105,Good,Q1_2022,2,2022
28/02/2022,31.5,6.066666666666666,100,100,21,100,100,87,55,Good,Q1_2022,2,2022
28/02/2022,33,3.6666666666666665,100,100,55,100,100,92,11,Good,Q1_2022,2,2022
28/02/2022,281.5,11.416666666666666,92,100,27,100,100,85,92,Good,Q1_2022,2,2022
28/02/2022,65.2,36.71666666666667,100,100,49,97,99,91,15,Good,Q1_2022,2,2022
28/02/2022,124.4,18:00:00,100,100,47,100,100,91,15,Good,Q1_2022,2,2022
28/02/2022,4,22:48:00,100,100,55,100,100,92,11,Good,Q1_2022,2,2022
28/02/2022,618.9,122.01666666666667,100,100,43,99,100,90,20,Good,Q1_2022,2,2022
28/02/2022,52.4,13:12:00,100,100,45,99,100,90,20,Good,Q1_2022,2,2022
28/02/2022,168.8,14:24:00,100,100,85,100,100,97,4,Good,Q1_2022,2,2022
28/02/2022,173.2,129.73333333333332,100,100,31,99,100,88,39,Good,Q1_2022,2,2022
28/02/2022,0.7,18:00:00,100,100,20,100,100,86,70,Good,Q1_2022,2,2022
28/02/2022,0.7,0.8333333333333334,100,100,65,100,100,94,9,Good,Q1_2022,2,2022
28/02/2022,3973.6,114.93333333333334,96,100,48,100,100,90,20,Good,Q1_2022,2,2022
28/02/2022,3613.3,100.11666666666666,100,99,34,99,100,88,39,Good,Q1_2022,2,2022
28/02/2022,3101.9,20:24:00,86,100,29,100,100,83,115,Good,Q1_2022,2,2022
28/02/2022,1760.8,46.483333333333334,100,100,37,100,100,89,31,Good,Q1_2022,2,2022
28/02/2022,4882.6,118.26666666666667,95,100,39,100,100,88,39,Good,Q1_2022,2,2022
28/02/2022,3513.3,90.93333333333334,100,100,45,100,100,90,20,Good,Q1_2022,2,2022
28/02/2022,3969.2,97.26666666666667,84,100,42,100,99,84,105,Good,Q1_2022,2,2022
28/02/2022,2468.3,59.06666666666667,57,100,25,99,100,73,151,Risky,Q1_2022,2,2022
28/02/2022,3732.1,97.36666666666666,85,100,36,100,100,84,105,Good,Q1_2022,2,2022
28/02/2022,3211.1,21:36:00,95,100,23,100,100,85,92,Good,Q1_2022,2,2022
28/02/2022,3493.4,90.08333333333333,86,98,57,98,98,87,55,Good,Q1_2022,2,2022
28/02/2022,3162.9,75.03333333333333,71,100,36,94,96,78,147,Risky,Q1_2022,2,2022
28/02/2022,5135.1,22:48:00,96,100,60,99,100,92,11,Good,Q1_2022,2,2022
28/02/2022,4133,91.63333333333334,99,100,72,100,100,95,7,Good,Q1_2022,2,2022
28/02/2022,1274,08:24:00,100,100,16,100,100,86,70,Good,Q1_2022,2,2022
28/02/2022,4803.4,110.16666666666667,97,100,27,100,100,87,55,Good,Q1_2022,2,2022
